,,,,,,,,,,,Percent,,,,,,,
season,day,month,year,treatment,rep,samp,visit,DVS IRRI,DVS Syngenta,Nh,BB,HB,GSD,RSD,RTV,YSD,,
DS,10,2,2014,GM22,1,A,1,20,AT,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,B,1,20,AT,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,C,1,20,AT,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,D,1,20,AT,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,E,1,20,AT,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,A,2,30,PI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,B,2,30,PI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,C,2,30,PI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,D,2,30,PI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,E,2,30,PI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,A,3,40,MI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,B,3,40,MI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,C,3,40,MI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,D,3,40,MI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,E,3,40,MI,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,A,4,90,AR,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,B,4,90,AR,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,C,4,90,AR,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,D,4,90,AR,0,0,0,0,0,0,0,,
DS,10,2,2014,GM22,1,E,4,90,AR,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
