,,,,,,,,,Weed rating,,Weed rating,,,,Species,,,
season,day,month,year,treatment,rep,visit,samp,DVS,WA,WB,BLW,G,S,SW,Weed1,Weed2,Weed3,Weed4
DS,10,2,2014,GM22,1,1,A,20,0,1,2,1,3,,,,,
DS,10,2,2014,GM22,1,1,B,20,0,0,,,,,,,,
DS,10,2,2014,GM22,1,1,C,20,0,0,,,,,,,,
DS,10,2,2014,GM22,1,2,A,30,0,1,1,2,0,,,,,
DS,10,2,2014,GM22,1,2,B,30,0,1,1,0,2,,,,,
DS,10,2,2014,GM22,1,2,C,30,0,1,1,0,0,,,,,
DS,10,2,2014,GM22,1,3,A,40,0,0,,,,,,,,
DS,10,2,2014,GM22,1,3,B,40,0,0,,,,,,,,
DS,10,2,2014,GM22,1,3,C,40,0,0,,,,,,,,
DS,10,2,2014,GM22,1,4,A,90,0,0,,,,,,,,
DS,10,2,2014,GM22,1,4,B,90,1,1,0,1,,,,,,
DS,10,2,2014,GM22,1,4,C,90,1,2,2,3,1,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
